2024-09-22 15:04:12,264 - INFO - Process: PID=8896, Name=avp.exe, User=None
2024-09-22 15:04:12,264 - INFO - Process: PID=8920, Name=nvcontainer.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,264 - INFO - Process: PID=9204, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,265 - INFO - Process: PID=9280, Name=taskhostw.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,265 - INFO - Process: PID=9428, Name=NVIDIA Broadcast UI.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,265 - INFO - Process: PID=9460, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,269 - INFO - Process: PID=9464, Name=svchost.exe, User=None
2024-09-22 15:04:12,273 - INFO - Process: PID=9572, Name=svchost.exe, User=None
2024-09-22 15:04:12,274 - INFO - Process: PID=9664, Name=ctfmon.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,274 - INFO - Process: PID=9960, Name=conhost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,274 - INFO - Process: PID=9980, Name=explorer.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,275 - INFO - Process: PID=10000, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,279 - INFO - Process: PID=10036, Name=svchost.exe, User=None
2024-09-22 15:04:12,279 - INFO - Process: PID=10112, Name=Razer Synapse Service Process.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,280 - INFO - Process: PID=10204, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,285 - INFO - Process: PID=10220, Name=svchost.exe, User=None
2024-09-22 15:04:12,285 - INFO - Process: PID=10384, Name=svchost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,285 - INFO - Process: PID=10532, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,285 - INFO - Process: PID=10660, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,290 - INFO - Process: PID=10748, Name=svchost.exe, User=None
2024-09-22 15:04:12,290 - INFO - Process: PID=10764, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,290 - INFO - Process: PID=10992, Name=SecurityHealthSystray.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,291 - INFO - Process: PID=11112, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,291 - INFO - Process: PID=11152, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,291 - INFO - Process: PID=11232, Name=SearchApp.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,292 - INFO - Process: PID=11256, Name=StartMenuExperienceHost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,292 - INFO - Process: PID=11288, Name=UserOOBEBroker.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,292 - INFO - Process: PID=11308, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,293 - INFO - Process: PID=11428, Name=avpui.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,293 - INFO - Process: PID=11460, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,293 - INFO - Process: PID=11512, Name=NVIDIA Web Helper.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,293 - INFO - Process: PID=11576, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,294 - INFO - Process: PID=11696, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,294 - INFO - Process: PID=11756, Name=SearchApp.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,294 - INFO - Process: PID=11796, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,295 - INFO - Process: PID=11864, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,299 - INFO - Process: PID=11904, Name=svchost.exe, User=None
2024-09-22 15:04:12,299 - INFO - Process: PID=11932, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,299 - INFO - Process: PID=12140, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,300 - INFO - Process: PID=12232, Name=conhost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,300 - INFO - Process: PID=12252, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,300 - INFO - Process: PID=12496, Name=WhatsApp.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,300 - INFO - Process: PID=12752, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,301 - INFO - Process: PID=12760, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,301 - INFO - Process: PID=12964, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,301 - INFO - Process: PID=12972, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,302 - INFO - Process: PID=13064, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,302 - INFO - Process: PID=13204, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,302 - INFO - Process: PID=13340, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,302 - INFO - Process: PID=13620, Name=NVIDIA Broadcast.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,303 - INFO - Process: PID=13816, Name=rundll32.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,303 - INFO - Process: PID=13824, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,303 - INFO - Process: PID=14056, Name=audiodg.exe, User=None
2024-09-22 15:04:12,308 - INFO - Process: PID=14160, Name=SecurityHealthService.exe, User=None
2024-09-22 15:04:12,308 - INFO - Process: PID=14172, Name=TextInputHost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,308 - INFO - Process: PID=14224, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,309 - INFO - Process: PID=14384, Name=RtkAudUService64.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,309 - INFO - Process: PID=14492, Name=vgtray.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,309 - INFO - Process: PID=14552, Name=lghub_system_tray.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,309 - INFO - Process: PID=14680, Name=lghub_agent.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,310 - INFO - Process: PID=14756, Name=ApplicationFrameHost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,310 - INFO - Process: PID=15020, Name=jusched.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,310 - INFO - Process: PID=15084, Name=dllhost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,311 - INFO - Process: PID=15152, Name=unsecapp.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,316 - INFO - Process: PID=15168, Name=svchost.exe, User=None
2024-09-22 15:04:12,316 - INFO - Process: PID=15220, Name=TurboVPN.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,320 - INFO - Process: PID=15480, Name=svchost.exe, User=None
2024-09-22 15:04:12,321 - INFO - Process: PID=15652, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,325 - INFO - Process: PID=15716, Name=SearchFilterHost.exe, User=None
2024-09-22 15:04:12,326 - INFO - Process: PID=15744, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,326 - INFO - Process: PID=15760, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,326 - INFO - Process: PID=15812, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,326 - INFO - Process: PID=15992, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,327 - INFO - Process: PID=16124, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,327 - INFO - Process: PID=16188, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,327 - INFO - Process: PID=16268, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,327 - INFO - Process: PID=16580, Name=dllhost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,332 - INFO - Process: PID=16596, Name=WmiPrvSE.exe, User=None
2024-09-22 15:04:12,332 - INFO - Process: PID=16736, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,332 - INFO - Process: PID=16816, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,333 - INFO - Process: PID=17004, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,333 - INFO - Process: PID=17068, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,333 - INFO - Process: PID=17380, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,333 - INFO - Process: PID=17432, Name=RiotClientServices.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,334 - INFO - Process: PID=17612, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,334 - INFO - Process: PID=17756, Name=python.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,334 - INFO - Process: PID=17760, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,335 - INFO - Process: PID=18040, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,335 - INFO - Process: PID=18132, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,335 - INFO - Process: PID=18200, Name=conhost.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,339 - INFO - Process: PID=18284, Name=SgrmBroker.exe, User=None
2024-09-22 15:04:12,344 - INFO - Process: PID=18300, Name=svchost.exe, User=None
2024-09-22 15:04:12,344 - INFO - Process: PID=18332, Name=RiotClientCrashHandler.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,348 - INFO - Process: PID=18436, Name=MoUsoCoreWorker.exe, User=None
2024-09-22 15:04:12,349 - INFO - Process: PID=18904, Name=powershell.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,353 - INFO - Process: PID=19028, Name=svchost.exe, User=None
2024-09-22 15:04:12,353 - INFO - Process: PID=19044, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,354 - INFO - Process: PID=19064, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,354 - INFO - Process: PID=19328, Name=powershell.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,354 - INFO - Process: PID=19832, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,354 - INFO - Process: PID=19928, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,355 - INFO - Process: PID=20024, Name=smartscreen.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,361 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:64078 Status: ESTABLISHED
2024-09-22 15:04:12,361 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:63362 Status: ESTABLISHED
2024-09-22 15:04:12,361 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:62084 Status: ESTABLISHED
2024-09-22 15:04:12,361 - INFO - Network Connection: 127.0.0.1:61574 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,361 - INFO - Network Connection: 127.0.0.1:61650 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:50821 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 192.168.29.154:61811 -> 104.199.241.202:4070 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:52865 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:63523 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:61655 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:50821 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:49923 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:61655 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 192.168.29.154:61652 -> 142.250.77.142:443 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:63464 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: ::1:5426 -> ::1:49731 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 192.168.29.154:53523 -> 104.18.32.47:443 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:50883 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:61657 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: ::1:5426 -> ::1:49734 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 192.168.29.154:62018 -> 151.101.157.91:443 Status: ESTABLISHED
2024-09-22 15:04:12,362 - INFO - Network Connection: 127.0.0.1:49690 -> 127.0.0.1:49941 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 192.168.29.154:52553 -> 142.250.193.3:443 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 192.168.29.154:52653 -> 151.101.157.167:443 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 192.168.29.154:53360 -> 216.239.32.116:443 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 127.0.0.1:52697 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 127.0.0.1:50103 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 127.0.0.1:9100 -> 127.0.0.1:49785 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 127.0.0.1:65001 -> 127.0.0.1:49759 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 127.0.0.1:49785 -> 127.0.0.1:9100 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: 127.0.0.1:63086 -> 127.0.0.1:49690 Status: ESTABLISHED
2024-09-22 15:04:12,363 - INFO - Network Connection: ::1:49734 -> ::1:5426 Status: ESTABLISHED
